0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,1,2,0,6
1,1,2,2,13,7,12,7,10,11,22,18,20,24,16,15,26,38,156
5,4,1,5,9,14,9,10,16,12,7,12,10,23,20,9,7,7,116
7,12,7,14,16,17,17,10,22,13,21,22,13,17,27,20,13,10,137
8,14,12,8,6,13,15,15,24,7,12,15,11,18,21,12,14,8,100
27,23,14,19,25,22,32,42,33,51,41,23,23,44,31,24,14,22,270
30,30,29,63,43,46,37,44,65,74,75,60,64,94,72,70,50,23,455
39,36,36,35,41,24,47,62,70,90,75,56,55,47,23,29,13,23,369
21,24,17,31,23,24,32,39,41,35,39,41,37,67,30,42,38,51,290
12,7,14,13,26,26,22,21,18,33,30,44,42,47,45,38,34,37,222
27,29,39,38,20,33,37,47,46,44,37,55,56,88,34,37,43,38,299
11,13,13,14,19,15,17,12,17,29,22,41,27,27,22,21,28,16,157
23,13,15,12,11,28,25,43,23,37,19,24,30,35,25,35,29,27,211
12,22,31,23,15,31,22,40,36,37,35,40,42,75,38,24,25,45,256
39,35,47,55,43,40,39,60,82,64,91,46,58,71,53,39,32,24,401
10,7,23,18,7,14,12,14,23,28,30,17,24,39,16,26,17,21,165
14,12,6,10,15,11,12,23,30,22,17,23,16,39,30,27,27,22,195
9,17,27,25,21,11,10,26,38,41,40,30,44,52,31,32,32,27,231
18,23,28,23,23,28,46,23,49,46,50,41,58,64,44,50,39,55,318
17,18,21,23,16,19,15,21,37,43,46,23,27,43,32,32,32,28,214
7,10,7,13,20,10,16,20,21,33,20,13,23,43,22,25,19,18,148
10,14,26,17,13,17,26,18,39,43,23,33,28,41,33,31,28,18,208
22,31,32,36,28,17,18,39,62,67,55,49,46,55,39,36,24,41,293
7,6,9,9,25,19,21,21,33,29,24,28,29,48,35,31,23,33,231
14,23,31,22,19,9,17,16,43,44,37,29,36,37,33,29,21,22,195
6,18,22,15,12,17,33,24,35,31,34,44,43,55,48,41,33,37,280
9,8,8,16,23,20,14,16,20,26,29,29,36,33,22,24,24,14,160
7,9,14,21,13,16,19,15,19,30,29,29,27,30,16,21,10,14,142
6,4,4,5,19,15,18,11,13,15,7,5,11,20,8,10,5,6,102
8,14,15,15,8,15,18,13,17,17,18,24,33,35,21,19,20,28,148
7,7,7,13,7,10,16,9,10,16,11,16,28,30,23,15,12,22,115
4,8,10,5,11,14,11,8,14,15,17,21,28,11,12,20,18,26,118
44,58,49,48,32,43,58,60,76,68,53,50,35,63,37,42,31,22,357
16,20,17,28,27,24,12,36,28,39,41,32,33,63,38,26,29,35,251
13,12,20,13,16,23,21,14,34,23,24,22,23,24,32,24,16,10,153
16,21,24,34,31,28,43,31,38,39,33,47,64,65,55,56,31,64,301
12,34,29,27,23,18,20,28,42,46,36,30,47,42,37,25,23,37,246
18,21,24,31,31,24,33,22,41,37,35,32,32,30,39,34,24,27,226
65,44,70,47,66,54,85,97,110,126,113,126,132,167,79,71,67,51,735
44,48,44,41,41,51,61,60,72,77,80,54,57,74,55,56,44,38,439
13,9,4,8,7,14,14,15,26,17,19,14,25,21,16,15,12,18,120
14,21,31,28,19,15,26,32,33,44,45,41,32,45,28,40,34,44,245
9,13,26,17,9,8,19,21,35,23,28,22,22,52,30,22,14,25,167
17,25,22,18,19,16,31,33,38,27,32,21,43,59,33,27,24,33,239
7,12,24,31,15,23,22,20,34,46,38,30,43,64,57,57,26,42,275
24,28,44,30,29,29,21,34,57,72,37,40,46,54,37,34,31,38,299
23,38,49,51,65,68,47,46,68,76,67,77,54,67,59,56,46,42,415
13,23,12,18,19,19,30,33,32,36,26,32,34,35,29,32,23,25,219
3,10,11,21,17,13,15,14,34,39,30,18,34,53,41,38,31,34,225
27,31,26,29,19,31,35,40,50,49,34,34,36,46,46,26,24,16,242
9,10,14,32,30,32,20,22,38,37,44,42,49,45,40,34,33,43,266
8,18,16,20,15,29,15,23,34,32,12,26,28,33,32,18,18,20,190
10,9,14,18,29,21,19,11,17,34,28,32,25,28,27,37,20,25,180
57,67,54,40,37,64,53,74,74,75,73,51,54,51,61,101,60,52,445
13,18,23,26,13,24,20,24,41,39,36,39,44,58,33,40,51,27,261
6,9,10,17,17,44,29,20,28,22,29,22,21,17,16,21,12,15,191
8,6,6,8,11,12,12,18,24,31,24,16,12,20,17,24,15,4,144
5,3,5,16,11,5,14,7,10,23,12,17,17,16,12,15,10,5,84
39,36,50,55,44,36,50,58,81,64,75,55,43,89,64,61,51,40,410
9,5,9,15,26,42,16,15,25,24,33,37,27,37,30,16,16,16,211
17,21,21,20,21,20,15,24,35,40,26,26,32,38,30,20,14,18,187
11,7,11,20,18,20,14,15,22,37,33,40,40,68,43,38,35,36,249
4,9,13,12,8,16,12,29,21,31,21,17,25,57,25,28,24,22,174
8,7,5,9,14,18,13,21,14,16,24,22,28,45,23,21,29,24,159
4,5,11,12,5,13,8,11,15,21,18,21,16,30,27,21,21,23,129
8,10,10,10,13,9,16,13,19,22,21,17,15,43,32,37,49,106,274
5,11,19,27,17,12,10,19,30,42,32,29,25,43,29,20,24,15,194
4,13,11,17,19,16,10,10,23,26,36,30,28,37,39,34,25,43,200
2,1,2,5,5,8,4,3,11,15,16,10,14,23,12,17,14,13,82
10,22,25,18,27,14,15,28,46,49,45,27,35,43,42,30,21,17,233
1,2,4,9,15,2,4,9,5,18,20,14,10,21,22,29,32,16,94
15,31,34,32,47,35,30,38,70,59,53,54,62,92,65,55,38,43,362
0,0,0,0,1,0,1,1,0,0,0,0,2,2,0,1,1,3,6
4,3,6,3,8,17,6,5,9,20,7,11,12,12,14,18,11,5,91
3,3,1,3,3,5,2,7,4,4,6,8,13,20,11,7,13,8,63
4,9,15,13,8,16,13,13,31,27,19,19,26,38,35,36,26,19,169
2,5,11,8,1,5,14,19,25,20,12,15,17,23,11,12,5,13,106
18,22,19,35,25,20,21,33,33,42,25,42,29,60,47,41,18,30,244
16,12,13,21,13,18,24,24,34,41,23,27,19,45,20,31,21,29,191
26,22,31,32,25,43,51,28,38,55,36,48,54,49,45,35,31,32,314
32,32,22,25,35,27,32,33,41,38,44,33,45,52,40,47,31,21,262
33,42,51,47,35,35,53,62,76,77,43,53,49,73,59,48,39,37,373
30,25,26,34,20,23,34,39,57,49,42,38,42,50,32,35,40,30,276
56,38,51,69,64,50,64,52,75,88,70,61,48,54,61,44,41,23,410
11,26,49,37,32,34,28,49,66,70,47,56,57,77,65,54,36,43,356
23,29,14,33,21,30,20,26,24,32,32,27,30,30,13,25,22,22,186
19,25,21,28,28,23,30,26,48,43,41,38,29,45,29,40,29,35,235
0,0,4,1,1,2,0,0,3,2,2,0,0,3,2,2,1,2,11
18,33,69,58,32,13,22,38,75,92,37,35,32,52,38,48,25,25,276
25,31,23,36,26,20,29,42,42,39,42,46,29,43,35,23,39,17,239
21,48,59,53,39,25,47,46,79,77,65,71,85,138,85,86,82,83,520
2,0,1,1,0,0,0,0,1,3,0,1,0,1,1,0,0,0,4
34,37,35,46,40,42,62,69,82,70,53,66,67,111,80,66,46,39,473
17,26,30,23,27,14,24,36,37,43,29,29,32,49,39,32,21,25,216
24,32,40,28,40,49,41,52,54,45,70,72,52,99,58,73,60,72,426
77,100,105,131,142,126,154,153,201,207,168,149,195,248,184,144,110,109,1216
42,52,60,54,77,59,69,82,99,124,100,100,119,189,137,121,86,65,712
11,10,13,15,20,20,19,23,25,34,37,26,37,49,40,27,27,31,222
18,25,28,45,31,36,22,39,39,47,57,45,45,63,36,44,34,38,273
12,20,26,24,18,24,29,25,38,41,42,38,48,42,30,31,28,32,236
22,22,33,40,35,32,42,36,44,62,57,62,53,72,53,58,51,41,375
31,37,55,54,45,35,44,34,70,100,85,47,61,77,66,57,46,41,426
37,37,40,52,41,35,56,30,64,75,69,49,51,49,47,49,43,33,355
38,34,56,62,34,46,57,55,77,98,68,62,69,88,78,74,67,41,482
27,20,32,45,51,40,35,51,49,64,41,50,57,84,45,41,40,36,377
40,58,66,61,60,36,45,71,98,101,78,60,87,107,75,87,45,54,524
49,74,76,63,52,54,57,98,122,104,67,64,85,121,104,98,51,50,562
27,44,38,39,23,29,48,53,54,56,51,48,50,61,67,57,42,32,348
10,21,27,39,36,46,29,27,42,57,49,58,46,61,63,61,52,49,329
30,29,29,61,39,37,55,48,59,79,72,61,57,79,81,53,52,49,417
14,20,24,28,25,23,19,34,34,42,39,33,50,82,57,44,32,26,288
8,21,12,25,25,21,26,24,30,32,46,36,36,41,44,32,31,32,234
26,33,23,19,24,33,28,29,31,40,35,29,32,30,24,32,30,20,217
16,21,19,16,10,19,30,30,31,25,15,24,25,32,32,24,20,25,203
39,42,29,34,33,33,40,46,60,58,34,27,38,42,55,33,22,24,294
23,40,60,77,63,27,39,65,89,109,63,57,79,122,74,56,39,39,470
0,0,0,0,0,0,0,0,0,1,1,3,5,4,0,3,3,0,18
4,7,5,5,8,13,12,8,14,8,11,20,18,26,11,9,13,13,70
2,3,3,7,11,8,4,3,2,12,15,8,10,16,13,12,3,11,53
208,267,308,413,485,349,403,420,564,584,493,500,611,886,583,593,433,463,4120
11,15,27,24,28,32,20,27,46,38,41,42,28,52,32,30,37,20,236
31,22,37,27,47,30,44,42,53,55,51,37,48,55,37,36,28,28,285
20,27,20,21,21,25,33,34,44,47,30,41,33,46,41,30,30,23,244
38,42,34,42,50,43,51,53,63,56,69,77,75,85,51,44,51,52,391
27,42,54,55,52,43,54,67,90,109,72,59,72,105,84,77,56,39,512
18,23,22,20,24,29,33,24,40,52,37,32,28,45,32,25,29,17,213
6,17,16,14,13,10,11,21,29,24,14,18,21,26,33,28,20,14,153
9,35,34,49,28,38,21,45,48,60,51,56,60,100,107,76,44,44,404
19,27,42,40,57,36,32,41,57,49,38,46,55,92,54,47,38,24,348
13,20,19,20,28,23,18,25,42,36,31,25,25,55,53,45,16,22,245
12,32,36,33,21,14,24,32,57,57,34,30,53,42,70,70,39,38,279
20,16,18,26,32,21,32,28,33,57,37,34,43,66,38,41,23,19,268
16,18,31,30,45,32,23,31,57,49,50,33,48,65,53,55,40,33,329
17,19,32,126,115,28,28,26,49,48,28,19,20,53,58,56,26,23,498
12,26,15,35,57,40,25,24,47,40,41,38,38,57,58,56,34,26,326
8,15,14,20,36,21,22,22,30,31,39,46,41,59,39,53,36,75,332
49,52,66,53,67,50,55,83,113,67,59,32,63,114,102,58,40,27,454
10,7,12,7,4,3,13,9,9,11,13,11,18,22,13,9,17,12,77
138,123,101,121,87,119,149,175,210,137,144,131,157,271,187,134,74,71,1017
88,112,101,130,105,100,114,151,196,174,143,116,150,227,196,138,96,111,993
3,2,2,2,1,2,4,2,3,10,2,1,3,3,5,3,1,1,19
26,49,36,38,28,27,35,57,63,78,42,45,60,76,67,75,31,25,359
18,10,10,18,17,18,24,20,26,28,22,38,26,33,19,16,31,29,194
60,58,63,70,59,47,66,94,91,91,63,65,63,86,64,42,30,29,422
50,60,52,41,43,48,66,72,88,72,61,63,65,65,43,36,29,28,408
23,33,43,45,30,28,36,32,59,42,43,38,53,50,41,28,30,22,274
25,23,29,36,29,47,28,40,54,70,45,48,53,54,38,49,40,44,316
25,26,47,29,38,17,33,45,58,60,53,44,42,80,47,50,58,24,319
54,63,85,84,74,69,69,89,105,124,88,98,82,92,82,69,49,59,572
21,25,17,23,29,24,34,40,45,61,41,44,33,60,51,56,27,29,299
41,46,41,56,43,66,61,63,81,78,62,60,63,63,44,62,35,38,392
42,34,38,47,49,68,49,65,82,79,70,61,63,104,92,80,51,67,509
37,25,29,28,37,58,36,42,70,68,52,54,48,80,64,65,41,40,371
13,11,6,10,14,26,21,20,20,18,19,23,24,26,20,24,19,12,143
5,14,17,9,10,13,13,15,31,24,17,20,18,27,27,22,19,16,131
5,10,17,15,15,10,5,11,25,35,17,6,14,9,18,9,8,4,89
45,44,43,59,44,52,57,71,72,85,53,68,66,116,85,47,51,42,483
31,28,46,45,37,33,49,52,71,66,52,45,65,93,65,61,33,44,368
57,58,49,67,55,65,65,80,115,106,75,73,67,117,95,70,46,40,543
28,39,29,31,32,31,44,41,51,63,50,38,40,53,59,49,30,27,290
37,34,44,49,51,47,50,61,73,81,62,70,69,86,59,63,40,37,399
40,38,43,32,28,42,47,50,71,49,31,37,35,84,49,38,15,21,302
34,31,25,17,27,53,44,47,56,39,37,41,29,56,32,21,20,20,284
12,16,21,27,29,13,22,16,30,38,34,26,25,25,37,28,22,11,167
77,66,66,62,45,60,92,85,97,103,60,58,67,76,56,44,24,24,484
