0.659,0.203,0.041,0.057,0.008,0.033,0,0,0
0.341,0.317,0.171,0,0.073,0.098,0,0,0
0.103,0.051,0.641,0.077,0.026,0.103,0,0,0
0.132,0.053,0.026,0.421,0.237,0.053,0.053,0.026,0
0.094,0.063,0.125,0.188,0.188,0.344,0,0,0
0.029,0,0.114,0.057,0.057,0.6,0,0,0.143
0.25,0,0,0.25,0,0,0,0.5,0
0.333,0,0,0,0,0,0,0.333,0.333
0,0,0,0,0,0.25,0,0,0.75
